GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crmshot-backend,com.crmshot.service,ExpositorService,5,234,1,3,0,53,2,18,1,17
crmshot-backend,com.crmshot.service,UsuarioService,10,154,1,3,0,32,3,19,2,18
crmshot-backend,com.crmshot.controller,ChatController,44,728,34,81,10,139,32,55,1,26
crmshot-backend,com.crmshot.controller,OportunidadeController,26,679,5,13,4,140,5,11,0,7
crmshot-backend,com.crmshot.controller,CnpjController,0,70,0,2,0,17,0,3,0,2
crmshot-backend,com.crmshot.controller,AuthController,76,0,6,0,20,0,6,0,3,0
crmshot-backend,com.crmshot.controller,RelatoriosController,124,770,22,28,14,139,23,21,6,13
crmshot-backend,com.crmshot.controller,DashboardController,6,216,1,15,1,43,1,11,0,4
crmshot-backend,com.crmshot.controller,HealthController,0,42,0,0,0,10,0,3,0,3
crmshot-backend,com.crmshot.controller,ExpositorController,590,0,19,0,136,0,25,0,14,0
crmshot-backend,com.crmshot.controller,AgendaController,15,855,7,65,5,193,6,68,0,33
